run,lumisection,evt,mu1pt,mu1eta,mu1phi,mu1en,mu2pt,mu2eta,mu2phi,mu2en,mu3pt,mu3eta,mu3phi,mu3en,chi2
283820,975,1722988955,11.9156,-1.34045,-2.7098,24.3229,6.11526,-1.23308,-2.58481,11.3846,5.09005,-1.64423,-2.96806,13.6677,83.5658
283820,975,1722908769,48.0627,1.65869,-0.478014,130.798,6.92006,1.69117,-0.795875,19.4116,4.55745,1.40348,-0.806925,9.83346,2.95772
283820,976,1725590697,6.66913,1.90294,-1.68983,22.8577,3.45844,1.37923,-2.05586,7.30435,3.22658,1.70682,-1.8882,9.1848,7.04811
283820,976,1725044564,6.62765,-1.87783,1.88622,22.1772,4.65916,-1.69732,1.94633,13.145,4.44221,-1.49661,1.4136,10.4184,157.829
283820,976,1725171256,11.6236,-0.122136,-1.78573,11.7109,9.02337,-0.189426,-1.66384,9.18635,7.16948,0.0675245,-1.45521,7.18661,961.804
283820,976,1723974642,4.08857,-1.48685,-2.60381,9.50488,3.40437,-1.52588,-2.27302,8.19944,3.08951,-1.92247,-2.44039,10.7892,6.65542
283820,976,1724744355,16.3393,-0.0213767,2.5646,16.3433,7.70648,-0.0564931,2.46522,7.71951,7.64703,-0.568852,2.37684,8.91864,174.058
283820,976,1724309343,10.7026,-1.00297,-0.542619,16.5527,5.81608,-1.15563,-0.55397,10.1521,5.00449,-1.06678,-0.38341,8.13329,657.08
283820,976,1724311099,9.57865,0.515861,2.33021,10.8822,6.00849,0.203095,2.27723,6.13375,4.93914,0.424112,2.24191,5.39108,6.94807
283820,977,1727371330,18.8147,-0.145668,-1.79893,19.0149,11.9749,-0.23148,-1.86986,12.2976,4.39762,-0.177924,-1.75775,4.46866,0.243099
283820,977,1727014003,19.898,-1.75582,1.84592,59.3058,7.73296,-1.66564,1.90948,21.1813,3.35868,-1.65378,1.71723,9.09932,11.5526
283820,977,1727040625,7.32726,1.09187,3.11453,12.147,6.51257,1.12354,-3.01571,11.0746,4.86433,1.16461,-2.96676,8.55387,0.158283
283820,922,1630820764,6.72563,-1.9085,-1.62787,23.1742,4.1911,-2.00044,-1.77221,15.7747,3.73983,-1.76555,-1.77424,11.2497,23.711
283820,922,1630836682,11.3741,2.05386,0.565053,45.077,5.71017,1.93595,0.461794,20.1997,3.00526,1.89556,0.401712,10.2282,9.18075
283820,923,1632358242,33.4156,-1.99006,-1.63958,124.518,5.49705,-1.93063,-1.71135,19.3469,2.56369,-1.93901,-1.07364,9.09618,56.2404
283820,923,1632508429,4.60253,-2.01176,2.42207,17.5134,3.66036,-1.92411,2.32834,12.8026,3.02842,-1.55646,2.21036,7.50047,31.8157
283820,923,1631605174,11.2241,-1.41595,-2.76711,24.4862,7.43032,-1.84715,-2.90673,24.1466,4.50372,-1.77295,-2.95535,13.6423,233.619
283820,923,1631222940,13.3804,1.43918,-1.35299,29.8007,6.58729,1.75897,-1.2734,19.692,6.02005,1.74066,-1.01874,17.6888,14.3577
283820,923,1632566473,29.1718,-2.26388,-0.0117244,141.838,6.47089,-1.85879,0.613353,21.2631,5.28053,-2.18518,-0.0769119,23.7749,182.086
283820,923,1632875340,5.34306,-1.60782,1.00179,13.8716,4.55305,-1.5193,1.17795,10.9002,2.6093,-1.6436,1.03415,7.00289,9.09362
283820,923,1632644868,16.2764,0.412022,1.1279,17.6779,10.5397,0.0861875,0.8273,10.5794,7.9756,0.180718,0.737038,8.10688,80.4646
283820,923,1632083775,7.36557,-0.51235,2.71046,8.35432,5.79118,-0.341794,2.81662,6.13367,4.29579,-0.442214,2.49876,4.72389,48.6917
283820,923,1632057255,7.10043,-0.97348,-0.91105,10.7396,7.04595,-0.843639,-0.971114,9.70621,5.56929,-0.940785,-1.01914,8.22182,4.24067
283820,924,1633972134,11.8683,1.47453,2.71556,27.2847,4.96269,1.39642,2.92086,10.641,3.99866,1.19309,3.09144,7.19944,2.62445
283820,924,1633391250,5.79815,-2.19287,-1.72106,26.302,5.52128,-2.02976,-1.61599,21.3776,2.22979,-2.29728,-2.31949,11.2025,6.94234
283820,924,1633320032,8.81723,-1.70523,2.65729,25.0606,5.0256,-1.34185,2.54225,10.2715,3.66922,-1.88007,2.81798,12.3044,144.841
